Frame ID,QR id,QR 2D,QR 3D
247,1,"[[835. 480.], [834. 511.], [802. 510.], [802. 478.]]","[2.319649904727325, -5.3934450812990065, 92.52358867425521, 0.34372030811092663]"
248,1,"[[834. 479.], [834. 511.], [802. 510.], [802. 479.]]","[2.3646042254869335, -5.40275829503571, 91.00761632955114, -0.5703251839394062]"
249,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
250,1,"[[834. 479.], [835. 511.], [803. 510.], [802. 479.]]","[2.3310885049350656, -5.384492300472942, 89.61569998368614, 5.516685451607998]"
251,1,"[[834. 479.], [835. 511.], [803. 510.], [802. 479.]]","[2.3310885049350656, -5.384492300472942, 89.61569998368614, 5.516685451607998]"
252,1,"[[834. 479.], [835. 511.], [803. 510.], [802. 479.]]","[2.3310885049350656, -5.384492300472942, 89.61569998368614, 5.516685451607998]"
253,1,"[[834. 479.], [835. 511.], [803. 510.], [802. 478.]]","[2.2974817305996726, -5.384902585358134, 89.65010130397592, 9.175768679274624]"
254,1,"[[834. 479.], [835. 511.], [803. 510.], [802. 478.]]","[2.2974817305996726, -5.384902585358134, 89.65010130397592, 9.175768679274624]"
255,1,"[[834. 479.], [835. 511.], [803. 510.], [802. 478.]]","[2.2974817305996726, -5.384902585358134, 89.65010130397592, 9.175768679274624]"
256,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
257,1,"[[834. 479.], [834. 511.], [803. 510.], [802. 478.]]","[2.3267132770728027, -5.394417657904228, 90.179395912326, 9.650156098493172]"
258,1,"[[834. 479.], [834. 511.], [803. 510.], [802. 478.]]","[2.3267132770728027, -5.394417657904228, 90.179395912326, 9.650156098493172]"
259,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
260,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
261,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
262,1,"[[834. 479.], [834. 511.], [803. 510.], [802. 478.]]","[2.3267132770728027, -5.394417657904228, 90.179395912326, 9.650156098493172]"
263,1,"[[834. 479.], [834. 511.], [803. 510.], [802. 479.]]","[2.366741353079523, -5.393960665915188, 90.07502894997519, 5.492325538280112]"
264,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
265,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
266,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
267,1,"[[834. 480.], [835. 510.], [802. 510.], [802. 479.]]","[2.3269943689301416, -5.3922615499483015, 87.30599544882602, -10.523299615181566]"
268,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
269,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
270,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
271,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
272,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
273,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
274,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
275,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
276,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
277,1,"[[834. 479.], [835. 511.], [803. 510.], [802. 479.]]","[2.3310885049350656, -5.384492300472942, 89.61569998368614, 5.516685451607998]"
278,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
279,1,"[[834. 479.], [835. 511.], [803. 510.], [802. 479.]]","[2.3310885049350656, -5.384492300472942, 89.61569998368614, 5.516685451607998]"
280,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
281,1,"[[834. 479.], [835. 511.], [804. 510.], [802. 479.]]","[2.3310255225891434, -5.375452786047617, 88.68891993412474, 9.558986156525947]"
282,1,"[[834. 479.], [835. 510.], [803. 510.], [802. 479.]]","[2.3575658214950663, -5.383992939303255, 89.72751382710298, 1.0015898899681708]"
283,1,"[[833. 478.], [835. 510.], [803. 510.], [802. 478.]]","[2.3267937306779416, -5.391177907359804, 86.65176719858734, -20.522417245347008]"
284,1,"[[833. 478.], [835. 510.], [804. 510.], [802. 478.]]","[2.3201894769827516, -5.385306166439136, 87.56181625622952, 13.522570723900264]"
285,1,"[[833. 478.], [835. 510.], [804. 510.], [802. 478.]]","[2.3201894769827516, -5.385306166439136, 87.56181625622952, 13.522570723900264]"
286,1,"[[834. 478.], [835. 510.], [804. 510.], [802. 478.]]","[2.3264061096949704, -5.375508876217708, 88.37213176920899, 9.81788187960481]"
287,1,"[[834. 478.], [835. 510.], [804. 510.], [802. 478.]]","[2.3264061096949704, -5.375508876217708, 88.37213176920899, 9.81788187960481]"
288,1,"[[834. 478.], [835. 510.], [804. 510.], [802. 478.]]","[2.3264061096949704, -5.375508876217708, 88.37213176920899, 9.81788187960481]"
289,1,"[[834. 478.], [835. 510.], [803. 510.], [802. 478.]]","[2.332386249180992, -5.384471679198299, 89.20650129507935, 5.173927866129089]"
